timestamp,message
2021-11-04 08:07:50.862,TRIALID 1
2021-11-04 08:07:52.364,!V TRIAL_VAR transitions variable
2021-11-04 08:07:52.865,!V TRIAL_VAR stake 5
2021-11-04 08:07:54.011,!E TRIAL_EVENT_VAR response_1
2021-11-04 08:07:54.872,!E TRIAL_EVENT_VAR monster_show
2021-11-04 08:07:55.396,!E TRIAL_EVENT_VAR response_2
2021-11-04 08:07:56.875,!E TRIAL_EVENT_VAR reward
2021-11-04 08:07:59.862,TRIAL_END
2021-11-04 08:08:00.482,TRIALID 2
2021-11-04 08:08:01.983,!V TRIAL_VAR transitions variable
2021-11-04 08:08:02.484,!V TRIAL_VAR stake 5
2021-11-04 08:08:03.867,!E TRIAL_EVENT_VAR response_1
2021-11-04 08:08:04.491,!E TRIAL_EVENT_VAR monster_show
2021-11-04 08:08:05.035,!E TRIAL_EVENT_VAR response_2
2021-11-04 08:08:06.495,!E TRIAL_EVENT_VAR reward
2021-11-04 08:08:09.482,TRIAL_END
2021-11-04 08:08:10.306,TRIALID 3
2021-11-04 08:08:11.808,!V TRIAL_VAR transitions variable
2021-11-04 08:08:12.310,!V TRIAL_VAR stake 5
2021-11-04 08:08:13.123,!E TRIAL_EVENT_VAR response_1
2021-11-04 08:08:14.315,!E TRIAL_EVENT_VAR monster_show
2021-11-04 08:08:15.323,!E TRIAL_EVENT_VAR response_2
2021-11-04 08:08:16.318,!E TRIAL_EVENT_VAR reward
2021-11-04 08:08:19.306,TRIAL_END
2021-11-04 08:08:20.730,TRIALID 4
2021-11-04 08:08:22.231,!V TRIAL_VAR transitions variable
2021-11-04 08:08:22.733,!V TRIAL_VAR stake 1
2021-11-04 08:08:23.739,!E TRIAL_EVENT_VAR response_1
2021-11-04 08:08:24.737,!E TRIAL_EVENT_VAR monster_show
2021-11-04 08:08:25.275,!E TRIAL_EVENT_VAR response_2
2021-11-04 08:08:26.738,!E TRIAL_EVENT_VAR reward
2021-11-04 08:08:29.730,TRIAL_END
2021-11-04 08:08:30.747,TRIALID 5
2021-11-04 08:08:32.249,!V TRIAL_VAR transitions variable
2021-11-04 08:08:32.749,!V TRIAL_VAR stake 5
2021-11-04 08:08:33.627,!E TRIAL_EVENT_VAR response_1
2021-11-04 08:08:34.755,!E TRIAL_EVENT_VAR monster_show
2021-11-04 08:08:35.348,!E TRIAL_EVENT_VAR response_2
2021-11-04 08:08:36.756,!E TRIAL_EVENT_VAR reward
2021-11-04 08:08:39.747,TRIAL_END
2021-11-04 08:08:48.083,TRIALID 6
2021-11-04 08:08:49.584,!V TRIAL_VAR transitions variable
2021-11-04 08:08:50.085,!V TRIAL_VAR stake 5
2021-11-04 08:08:51.163,!E TRIAL_EVENT_VAR response_1
2021-11-04 08:08:52.090,!E TRIAL_EVENT_VAR monster_show
2021-11-04 08:08:52.436,!E TRIAL_EVENT_VAR response_2
2021-11-04 08:08:54.091,!E TRIAL_EVENT_VAR reward
2021-11-04 08:08:57.083,TRIAL_END
2021-11-04 08:08:58.504,TRIALID 7
2021-11-04 08:09:00.005,!V TRIAL_VAR transitions variable
2021-11-04 08:09:00.506,!V TRIAL_VAR stake 5
2021-11-04 08:09:01.347,!E TRIAL_EVENT_VAR response_1
2021-11-04 08:09:02.511,!E TRIAL_EVENT_VAR monster_show
2021-11-04 08:09:02.883,!E TRIAL_EVENT_VAR response_2
2021-11-04 08:09:04.513,!E TRIAL_EVENT_VAR reward
2021-11-04 08:09:07.504,TRIAL_END
2021-11-04 08:09:09.126,TRIALID 8
2021-11-04 08:09:10.627,!V TRIAL_VAR transitions variable
